P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
-10404,0.226753584,6.21243E-07,,10404,0.116066496,3.18E-07
-10440,0.227077183,6.22129E-07,,10440,0.116066496,3.18E-07
-10476,0.227401799,6.23019E-07,,10476,0.116066496,3.18E-07
-10512,0.227707146,6.23855E-07,,10512,0.116066496,3.18E-07
-10548,0.228033743,6.2475E-07,,10548,0.116066496,3.18E-07
-10584,0.228361368,6.25648E-07,,10584,0.116066496,3.18E-07
-10620,0.228690024,6.26548E-07,,10620,0.116066496,3.18E-07
-10656,0.228999171,6.27395E-07,,10656,0.116066496,3.18E-07
-10692,0.229329836,6.28301E-07,,10692,0.116066496,3.18E-07
-10728,0.229661542,6.2921E-07,,10728,0.116066496,3.18E-07
-10764,0.229994294,6.30121E-07,,10764,0.116066496,3.18E-07
-10800,0.230307295,6.30979E-07,,10800,0.116066496,3.18E-07
-10836,0.230642083,6.31896E-07,,10836,0.116066496,3.18E-07
-10872,0.230977927,6.32816E-07,,10872,0.116066496,3.18E-07
-10908,0.231314831,6.33739E-07,,10908,0.116066496,3.18E-07
-10944,0.231631739,6.34608E-07,,10944,0.116066496,3.18E-07
-10980,0.231970707,6.35536E-07,,10980,0.116066496,3.18E-07
-11016,0.232310746,6.36468E-07,,11016,0.116066496,3.18E-07
-11052,0.232651859,6.37402E-07,,11052,0.116066496,3.18E-07
-11088,0.232972728,6.38281E-07,,11088,0.116066496,3.18E-07
-11124,0.233315934,6.39222E-07,,11124,0.116066496,3.18E-07
-11160,0.233660226,6.40165E-07,,11160,0.116066496,3.18E-07
-11196,0.234005607,6.41111E-07,,11196,0.116066496,3.18E-07
-11232,0.234330492,6.42001E-07,,11232,0.116066496,3.18E-07
-11268,0.234677995,6.42953E-07,,11268,0.116066496,3.18E-07
-11304,0.235026598,6.43908E-07,,11304,0.116066496,3.18E-07
-11340,0.235376306,6.44867E-07,,11340,0.116066496,3.18E-07
-11376,0.235705262,6.45768E-07,,11376,0.116066496,3.18E-07
-11412,0.236057122,6.46732E-07,,11412,0.116066496,3.18E-07
-11448,0.236410097,6.47699E-07,,11448,0.116066496,3.18E-07
-11484,0.236764192,6.48669E-07,,11484,0.116066496,3.18E-07
-11520,0.237097276,6.49582E-07,,11520,0.116066496,3.18E-07
-11556,0.237453552,6.50558E-07,,11556,0.116066496,3.18E-07
-11592,0.237810959,6.51537E-07,,11592,0.116066496,3.18E-07
-11628,0.238169502,6.52519E-07,,11628,0.116066496,3.18E-07
-11664,0.238506771,6.53443E-07,,11664,0.116066496,3.18E-07
-11700,0.238867526,6.54432E-07,,11700,0.116066496,3.18E-07
-11736,0.239229427,6.55423E-07,,11736,0.116066496,3.18E-07
-11772,0.239592479,6.56418E-07,,11772,0.116066496,3.18E-07
-11808,0.239933993,6.57353E-07,,11808,0.116066496,3.18E-07
-11844,0.240299287,6.58354E-07,,11844,0.116066496,3.18E-07
-11880,0.240665745,6.59358E-07,,11880,0.116066496,3.18E-07
-11916,0.24103337,6.60365E-07,,11916,0.116066496,3.18E-07
-11952,0.241379186,6.61313E-07,,11952,0.116066496,3.18E-07
-11988,0.241749085,6.62326E-07,,11988,0.116066496,3.18E-07
-12024,0.242120163,6.63343E-07,,12024,0.116066496,3.18E-07
-12060,0.242492425,6.64363E-07,,12060,0.116066496,3.18E-07
-12096,0.242842604,6.65322E-07,,12096,0.116066496,3.18E-07
-12132,0.243217171,6.66348E-07,,12132,0.116066496,3.18E-07
-12168,0.243592933,6.67378E-07,,12168,0.116066496,3.18E-07
-12204,0.243969896,6.68411E-07,,12204,0.116066496,3.18E-07
-12240,0.244324499,6.69382E-07,,12240,0.116066496,3.18E-07
-12276,0.244703799,6.70421E-07,,12276,0.116066496,3.18E-07
-12312,0.245084312,6.71464E-07,,12312,0.116066496,3.18E-07
-12348,0.245466042,6.7251E-07,,12348,0.116066496,3.18E-07
-12384,0.245825131,6.73494E-07,,12384,0.116066496,3.18E-07
-12420,0.246209231,6.74546E-07,,12420,0.116066496,3.18E-07
-12456,0.246594561,6.75602E-07,,12456,0.116066496,3.18E-07
-12492,0.246981125,6.76661E-07,,12492,0.116066496,3.18E-07
-12528,0.247344762,6.77657E-07,,12528,0.116066496,3.18E-07
-12564,0.24773373,6.78723E-07,,12564,0.116066496,3.18E-07
-12600,0.248123944,6.79792E-07,,12600,0.116066496,3.18E-07
-12636,0.24851541,6.80864E-07,,12636,0.116066496,3.18E-07
-12672,0.248883659,6.81873E-07,,12672,0.116066496,3.18E-07
-12708,0.249277562,6.82952E-07,,12708,0.116066496,3.18E-07
-12744,0.24967273,6.84035E-07,,12744,0.116066496,3.18E-07
-12780,0.250069166,6.85121E-07,,12780,0.116066496,3.18E-07
-12816,0.250442093,6.86143E-07,,12816,0.116066496,3.18E-07
-12852,0.250841001,6.87236E-07,,12852,0.116066496,3.18E-07
-12888,0.251241192,6.88332E-07,,12888,0.116066496,3.18E-07
-12924,0.251642669,6.89432E-07,,12924,0.116066496,3.18E-07
-12960,0.252020339,6.90467E-07,,12960,0.116066496,3.18E-07
-12996,0.252424323,6.91573E-07,,12996,0.116066496,3.18E-07
-13032,0.252829606,6.92684E-07,,13032,0.116066496,3.18E-07
-13068,0.253236195,6.93798E-07,,13068,0.116066496,3.18E-07
-13104,0.253618676,6.94846E-07,,13104,0.116066496,3.18E-07
-13140,0.254027807,6.95967E-07,,13140,0.116066496,3.18E-07
-13176,0.254438256,6.97091E-07,,13176,0.116066496,3.18E-07
-13212,0.254850029,6.98219E-07,,13212,0.116066496,3.18E-07
-13248,0.255237388,6.99281E-07,,13248,0.116066496,3.18E-07
-13284,0.255651738,7.00416E-07,,13284,0.116066496,3.18E-07
-13320,0.256067426,7.01555E-07,,13320,0.116066496,3.18E-07
-13356,0.256484456,7.02697E-07,,13356,0.116066496,3.18E-07
-13392,0.256876762,7.03772E-07,,13392,0.116066496,3.18E-07
-13428,0.257296406,7.04922E-07,,13428,0.116066496,3.18E-07
-13464,0.257717406,7.06075E-07,,13464,0.116066496,3.18E-07
-13500,0.258139768,7.07232E-07,,13500,0.116066496,3.18E-07
-13536,0.258537091,7.08321E-07,,13536,0.116066496,3.18E-07
-13572,0.258962104,7.09485E-07,,13572,0.116066496,3.18E-07
-13608,0.259388493,7.10653E-07,,13608,0.116066496,3.18E-07
-13644,0.259816261,7.11825E-07,,13644,0.116066496,3.18E-07
-13680,0.260218673,7.12928E-07,,13680,0.116066496,3.18E-07
-13716,0.260649131,7.14107E-07,,13716,0.116066496,3.18E-07
-13752,0.261080984,7.1529E-07,,13752,0.116066496,3.18E-07
-13788,0.261514237,7.16477E-07,,13788,0.116066496,3.18E-07
-13824,0.261921809,7.17594E-07,,13824,0.116066496,3.18E-07
-13860,0.262357789,7.18788E-07,,13860,0.116066496,3.18E-07
-13896,0.262795184,7.19987E-07,,13896,0.116066496,3.18E-07
