P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-11610.31369,0.322508714,6.67E-07,2.15E-07
-11645.38154,0.323482821,6.68E-07,2.16E-07
-11678.265,0.32439625,6.69E-07,2.17E-07
-11713.32754,0.325370209,6.70E-07,2.18E-07
-11748.38735,0.326344093,6.71E-07,2.19E-07
-11783.44442,0.327317901,6.73E-07,2.20E-07
-11816.31777,0.328231049,6.73E-07,2.21E-07
-11851.36954,0.329204709,6.75E-07,2.22E-07
-11886.41858,0.330178294,6.76E-07,2.23E-07
-11921.46488,0.331151802,6.77E-07,2.24E-07
-11954.32814,0.332064671,6.78E-07,2.25E-07
-11989.36914,0.333038032,6.79E-07,2.26E-07
-12024.40742,0.334011317,6.80E-07,2.27E-07
-12059.44296,0.334984527,6.81E-07,2.28E-07
-12092.29613,0.335897115,6.82E-07,2.29E-07
-12127.32639,0.336870178,6.83E-07,2.30E-07
-12162.35391,0.337843164,6.84E-07,2.31E-07
-12197.3787,0.338816075,6.85E-07,2.32E-07
-12230.2218,0.339728383,6.86E-07,2.33E-07
-12265.24131,0.340701148,6.87E-07,2.34E-07
-12300.25809,0.341673836,6.88E-07,2.35E-07
-12335.27214,0.342646448,6.89E-07,2.36E-07
-12368.10517,0.343558477,6.90E-07,2.37E-07
-12403.11395,0.344530943,6.92E-07,2.38E-07
-12438.12,0.345503333,6.93E-07,2.39E-07
-12473.12332,0.346475648,6.94E-07,2.40E-07
-12505.94629,0.347387397,6.95E-07,2.41E-07
-12540.94434,0.348359565,6.96E-07,2.42E-07
-12575.93967,0.349331658,6.97E-07,2.43E-07
-12610.93228,0.350303674,6.98E-07,2.45E-07
-12643.7452,0.351215144,6.99E-07,2.45E-07
-12678.73253,0.352187015,7.00E-07,2.47E-07
-12713.71715,0.35315881,7.02E-07,2.48E-07
-12748.69905,0.354130529,7.03E-07,2.49E-07
-12781.50192,0.35504172,7.04E-07,2.50E-07
-12816.47856,0.356013293,7.05E-07,2.51E-07
-12851.45247,0.356984791,7.06E-07,2.52E-07
-12886.42367,0.357956213,7.07E-07,2.53E-07
-12919.21652,0.358867126,7.08E-07,2.54E-07
-12954.18245,0.359838401,7.09E-07,2.55E-07
-12989.14568,0.360809602,7.11E-07,2.57E-07
-13024.10619,0.361780728,7.12E-07,2.58E-07
-13056.88901,0.362691361,7.13E-07,2.59E-07
-13091.84426,0.363662341,7.14E-07,2.60E-07
-13126.7968,0.364633244,7.15E-07,2.61E-07
-13161.74663,0.365604073,7.16E-07,2.62E-07
-13194.51945,0.366514429,7.18E-07,2.63E-07
-13229.46402,0.367485112,7.19E-07,2.64E-07
-13264.40589,0.368455719,7.20E-07,2.65E-07
-13299.34505,0.369426251,7.21E-07,2.66E-07
-13332.10786,0.370336329,7.22E-07,2.67E-07
-13367.04177,0.371306716,7.24E-07,2.69E-07
-13401.97298,0.372277027,7.25E-07,2.70E-07
-13436.90148,0.373247263,7.26E-07,2.71E-07
-13469.65429,0.374157064,7.27E-07,2.72E-07
-13504.57755,0.375127154,7.28E-07,2.73E-07
-13539.4981,0.376097169,7.30E-07,2.75E-07
-13574.41595,0.37706711,7.31E-07,2.76E-07
-13607.15877,0.377976633,7.32E-07,2.77E-07
-13642.07139,0.378946428,7.33E-07,2.78E-07
-13676.9813,0.379916147,7.34E-07,2.79E-07
-13711.8885,0.380885792,7.36E-07,2.80E-07
-13744.62135,0.381795038,7.37E-07,2.81E-07
-13779.52333,0.382764537,7.38E-07,2.82E-07
-13814.42261,0.383733961,7.39E-07,2.84E-07
-13849.31918,0.384703311,7.41E-07,2.85E-07
-13881.93807,0.385609391,7.42E-07,2.86E-07
-13916.82943,0.386578595,7.43E-07,2.87E-07
-13951.71809,0.387547725,7.44E-07,2.88E-07
-13986.60406,0.388516779,7.46E-07,2.90E-07
-14018.79042,0.389410845,7.47E-07,2.91E-07
-14053.6712,0.390379756,7.48E-07,2.92E-07
-14088.54928,0.391348591,7.49E-07,2.93E-07
-14123.42468,0.392317352,7.51E-07,2.95E-07
-14155.60128,0.393211147,7.52E-07,2.96E-07
-14190.4715,0.394179764,7.53E-07,2.97E-07
-14225.33902,0.395148306,7.55E-07,2.98E-07
