P_AC_out_only_PE,,,P_Ac_in_only_PE,
-23580,561.4795108,,23580,607.8346467
-23616,561.4731654,,23616,607.8114481
-23652,564.255604,,23652,611.1967464
-23688,564.2491973,,23688,611.1734241
-23724,564.2427228,,23724,611.1501063
-23760,564.236181,,23760,611.1267914
-23796,567.0179908,,23796,614.5114771
-23832,567.0113871,,23832,614.488039
-23868,567.0047154,,23868,614.4646045
-23904,566.9979771,,23904,614.4411732
-23940,569.7791587,,23940,617.8252476
-23976,569.7723569,,23976,617.8016933
-24012,569.7654889,,24012,617.778143
-24048,569.7585551,,24048,617.7545961
-24084,572.5391059,,24084,621.1380584
-24120,572.532108,,24120,621.1143888
-24156,572.5250437,,24156,621.0907224
-24192,572.5179153,,24192,621.0670597
-24228,575.2978326,,24228,624.4499111
-24264,575.2906386,,24264,624.426125
-24300,575.2833798,,24300,624.4023433
-24336,575.2760548,,24336,624.3785645
-24372,578.0553381,,24372,627.7608052
-24408,578.0479488,,24408,627.7369043
-24444,578.0404946,,24444,627.7130071
-24480,578.0329758,,24480,627.689113
-24516,580.8116244,,24516,631.0707432
-24552,580.8040397,,24552,631.0467264
-24588,580.7963899,,24588,631.0227133
-24624,580.7886773,,24624,630.9987036
-24660,583.5666886,,24660,634.3797256
-24696,583.5589084,,24696,634.3555934
-24732,583.5510649,,24732,634.3314643
-24768,586.3284413,,24768,637.712003
-24804,586.3205306,,24804,637.6877517
-24840,586.3125569,,24840,637.663505
-24876,586.3045194,,24876,637.6392605
-24912,589.0812566,,24912,641.0191902
-24948,589.0731514,,24948,640.9948237
-24984,589.0649839,,24984,640.9704612
-25020,589.0567525,,25020,640.9461031
-25056,591.8328497,,25056,644.3254239
-25092,591.8245509,,25092,644.3009431
-25128,591.8161884,,25128,644.2764654
-25164,591.8077638,,25164,644.2519914
-25200,594.5832194,,25200,647.6307045
-25236,594.5747268,,25236,647.606108
-25272,594.5661712,,25272,647.5815158
-25308,594.5575542,,25308,647.5569275
